estado,data,indice
RR,01-02-2020,32.8
RR,02-02-2020,38.2
RR,03-02-2020,24.9
RR,05-02-2020,27.3
RR,06-02-2020,26.0
RR,07-02-2020,23.6
RR,08-02-2020,28.5
RR,09-02-2020,37.4
RR,11-02-2020,24.2
RR,10-02-2020,21.9
RR,12-02-2020,24.5
RR,13-02-2020,25.8
RR,14-02-2020,24.7
RR,17-02-2020,24.5
RR,15-02-2020,33.6
RR,16-02-2020,38.6
RR,18-02-2020,27.6
RR,20-02-2020,25.5
RR,21-02-2020,25.0
RR,22-02-2020,32.6
RR,23-02-2020,40.3
RR,24-02-2020,35.5
RR,25-02-2020,41.9
RR,26-02-2020,35.2
RR,28-02-2020,26.8
RR,27-02-2020,27.2
RR,02-03-2020,27.5
RR,29-02-2020,31.5
RR,01-03-2020,41.0
RR,06-03-2020,28.7
RR,04-03-2020,30.8
RR,05-03-2020,30.7
RR,09-03-2020,29.8
RR,07-03-2020,32.4
RR,08-03-2020,40.6
RR,14-03-2020,35.7
RR,10-03-2020,30.3
RR,13-03-2020,30.8
RR,11-03-2020,29.3
RR,12-03-2020,31.0
RR,15-03-2020,41.8
RR,16-03-2020,31.3
RR,17-03-2020,33.8
RR,18-03-2020,35.6
RR,19-03-2020,36.2
RR,20-03-2020,36.5
RR,21-03-2020,44.4
RR,23-03-2020,47.1
RR,22-03-2020,55.8
RR,24-03-2020,49.8
RR,26-03-2020,49.8
RR,25-03-2020,51.1
RR,27-03-2020,47.7
RR,28-03-2020,49.7
RR,29-03-2020,54.3
RR,31-03-2020,44.0
RR,01-04-2020,40.2
RR,03-04-2020,42.8
RR,02-04-2020,43.2
RR,04-04-2020,46.3
RR,05-04-2020,52.8
RR,06-04-2020,42.7
RR,07-04-2020,42.1
RR,08-04-2020,41.3
RR,09-04-2020,41.9
RR,10-04-2020,49.1
RR,11-04-2020,45.6
RR,12-04-2020,51.6
RR,13-04-2020,42.8
RR,15-04-2020,42.6
RR,17-04-2020,40.3
RR,16-04-2020,39.1
RR,20-04-2020,43.1
RR,18-04-2020,44.1
RR,19-04-2020,51.2
RR,21-04-2020,46.1
RR,22-04-2020,39.4
RR,25-04-2020,42.8
RR,27-04-2020,40.7
RR,26-04-2020,49.3
RR,30-04-2020,39.4
RR,01-05-2020,45.0
RR,02-05-2020,43.2
RR,03-05-2020,49.1
RR,04-05-2020,40.0
AM,01-02-2020,34.8
AM,02-02-2020,41.0
AM,03-02-2020,29.5
AM,05-02-2020,30.3
AM,04-02-2020,30.7
AM,06-02-2020,29.3
AM,07-02-2020,26.3
AM,08-02-2020,30.8
AM,09-02-2020,40.3
AM,10-02-2020,25.3
AM,11-02-2020,27.4
AM,13-02-2020,29.3
AM,12-02-2020,27.3
AM,14-02-2020,28.4
AM,15-02-2020,36.1
AM,16-02-2020,42.0
AM,17-02-2020,27.4
AM,18-02-2020,30.5
AM,19-02-2020,32.8
AM,20-02-2020,28.9
AM,21-02-2020,28.3
AM,22-02-2020,35.3
AM,23-02-2020,43.6
AM,24-02-2020,38.2
AM,25-02-2020,46.5
AM,26-02-2020,40.3
AM,27-02-2020,30.5
AM,28-02-2020,29.4
AM,29-02-2020,33.8
AM,01-03-2020,43.8
AM,02-03-2020,31.4
AM,03-03-2020,32.3
AM,04-03-2020,34.9
AM,05-03-2020,35.2
AM,06-03-2020,32.8
AM,07-03-2020,35.0
AM,08-03-2020,43.6
AM,09-03-2020,34.0
AM,10-03-2020,34.5
AM,11-03-2020,33.0
AM,13-03-2020,34.4
AM,12-03-2020,34.4
AM,14-03-2020,43.2
AM,15-03-2020,45.2
AM,16-03-2020,35.4
AM,17-03-2020,36.8
AM,18-03-2020,39.4
AM,19-03-2020,43.9
AM,20-03-2020,40.7
AM,21-03-2020,48.8
AM,23-03-2020,54.3
AM,22-03-2020,52.6
AM,24-03-2020,46.8
AM,25-03-2020,53.7
AM,27-03-2020,51.6
AM,26-03-2020,53.3
AM,28-03-2020,54.1
AM,29-03-2020,59.4
AM,30-03-2020,53.0
AM,31-03-2020,51.2
AM,01-04-2020,46.9
AM,02-04-2020,49.9
AM,03-04-2020,49.1
AM,04-04-2020,52.9
AM,05-04-2020,59.3
AM,06-04-2020,52.2
AM,07-04-2020,51.0
AM,08-04-2020,53.0
AM,09-04-2020,51.8
AM,10-04-2020,58.6
AM,11-04-2020,56.3
AM,12-04-2020,58.9
AM,13-04-2020,53.2
AM,14-04-2020,52.4
AM,17-04-2020,50.1
AM,15-04-2020,52.7
AM,16-04-2020,49.0
AM,18-04-2020,53.7
AM,19-04-2020,60.2
AM,20-04-2020,52.5
AM,22-04-2020,50.4
AM,23-04-2020,51.2
AM,24-04-2020,50.7
AM,04-05-2020,48.3
AM,26-04-2020,57.8
AM,25-04-2020,56.7
AM,28-04-2020,50.3
AM,27-04-2020,50.3
AM,30-04-2020,47.9
AM,02-05-2020,50.7
AM,01-05-2020,52.9
AM,03-05-2020,54.0
AM,29-04-2020,48.4
AC,01-02-2020,36.3
AC,02-02-2020,42.3
AC,05-02-2020,31.2
AC,03-02-2020,29.7
AC,04-02-2020,30.5
AC,07-02-2020,27.3
AC,06-02-2020,31.4
AC,08-02-2020,31.3
AC,09-02-2020,40.1
AC,10-02-2020,26.9
AC,11-02-2020,26.6
AC,12-02-2020,27.4
AC,13-02-2020,29.4
AC,14-02-2020,29.5
AC,15-02-2020,37.7
AC,16-02-2020,43.5
AC,17-02-2020,27.1
AC,19-02-2020,33.6
AC,20-02-2020,29.0
AC,21-02-2020,28.8
AC,22-02-2020,35.9
AC,23-02-2020,42.8
AC,24-02-2020,37.5
AC,25-02-2020,43.7
AC,26-02-2020,37.6
AC,27-02-2020,31.2
AC,28-02-2020,29.7
AC,29-02-2020,34.8
AC,01-03-2020,46.4
AC,04-03-2020,34.6
AC,02-03-2020,29.1
AC,03-03-2020,31.8
AC,05-03-2020,34.7
AC,06-03-2020,33.1
AC,07-03-2020,36.4
AC,08-03-2020,45.2
AC,09-03-2020,32.9
AC,10-03-2020,33.8
AC,11-03-2020,32.5
AC,12-03-2020,34.0
AC,13-03-2020,35.8
AC,14-03-2020,40.4
AC,15-03-2020,47.0
AC,16-03-2020,34.3
AC,17-03-2020,34.3
AC,18-03-2020,41.8
AC,19-03-2020,43.5
AC,21-03-2020,53.9
AC,22-03-2020,63.2
AC,23-03-2020,54.1
AC,20-03-2020,44.8
AC,24-03-2020,55.3
AC,26-03-2020,53.2
AC,25-03-2020,54.3
AC,27-03-2020,50.8
AC,28-03-2020,54.9
AC,29-03-2020,58.7
AC,30-03-2020,50.6
AC,01-04-2020,46.5
AC,02-04-2020,49.4
AC,03-04-2020,48.4
AC,04-04-2020,51.1
AC,05-04-2020,57.8
AC,06-04-2020,46.9
AC,07-04-2020,46.3
AC,08-04-2020,46.0
AC,09-04-2020,46.3
AC,10-04-2020,54.0
AC,11-04-2020,48.6
AC,12-04-2020,55.6
AC,13-04-2020,46.6
AC,14-04-2020,47.4
AC,15-04-2020,51.9
AC,16-04-2020,43.8
AC,17-04-2020,45.3
AC,21-04-2020,53.4
AC,18-04-2020,48.8
AC,19-04-2020,56.6
AC,20-04-2020,47.1
AC,22-04-2020,46.0
AC,23-04-2020,46.8
AC,24-04-2020,45.7
AC,25-04-2020,48.7
AC,26-04-2020,56.2
AC,28-04-2020,45.5
AC,27-04-2020,46.1
AC,29-04-2020,43.6
AC,30-04-2020,43.2
AC,01-05-2020,51.4
AC,02-05-2020,46.9
AC,03-05-2020,54.0
AC,04-05-2020,45.7
AP,01-02-2020,32.8
AP,02-02-2020,39.4
AP,03-02-2020,26.1
AP,04-02-2020,33.3
AP,05-02-2020,27.8
AP,06-02-2020,27.7
AP,07-02-2020,25.4
AP,08-02-2020,30.6
AP,09-02-2020,39.6
AP,11-02-2020,24.5
AP,10-02-2020,22.8
AP,12-02-2020,24.9
AP,13-02-2020,26.9
AP,14-02-2020,27.0
AP,15-02-2020,33.8
AP,16-02-2020,41.0
AP,18-02-2020,27.5
AP,17-02-2020,24.5
AP,19-02-2020,31.0
AP,20-02-2020,26.7
AP,21-02-2020,26.1
AP,22-02-2020,33.3
AP,24-02-2020,36.1
AP,23-02-2020,41.3
AP,25-02-2020,44.1
AP,26-02-2020,38.3
AP,27-02-2020,27.7
AP,28-02-2020,26.8
AP,29-02-2020,32.2
AP,01-03-2020,44.0
AP,02-03-2020,27.9
AP,03-03-2020,30.7
AP,04-03-2020,32.1
AP,05-03-2020,31.4
AP,06-03-2020,30.1
AP,07-03-2020,32.9
AP,08-03-2020,42.6
AP,09-03-2020,30.6
AP,11-03-2020,29.4
AP,10-03-2020,30.7
AP,12-03-2020,30.5
AP,13-03-2020,31.2
AP,14-03-2020,36.4
AP,15-03-2020,46.5
AP,16-03-2020,32.9
AP,17-03-2020,34.2
AP,18-03-2020,38.2
AP,19-03-2020,46.7
AP,20-03-2020,43.9
AP,21-03-2020,56.5
AP,22-03-2020,63.2
AP,24-03-2020,55.5
AP,23-03-2020,54.2
AP,25-03-2020,54.0
AP,26-03-2020,54.0
AP,27-03-2020,52.3
AP,28-03-2020,53.9
AP,29-03-2020,58.7
AP,30-03-2020,50.3
AP,01-04-2020,46.4
AP,02-04-2020,49.0
AP,03-04-2020,48.7
AP,05-04-2020,56.5
AP,04-04-2020,49.9
AP,07-04-2020,47.0
AP,06-04-2020,47.8
AP,08-04-2020,47.3
AP,09-04-2020,46.1
AP,10-04-2020,56.8
AP,11-04-2020,48.3
AP,12-04-2020,56.2
AP,15-04-2020,47.1
AP,14-04-2020,48.0
AP,13-04-2020,48.4
AP,17-04-2020,44.7
AP,16-04-2020,45.5
AP,18-04-2020,47.8
AP,19-04-2020,56.4
AP,20-04-2020,46.3
AP,21-04-2020,49.9
AP,22-04-2020,45.7
AP,23-04-2020,45.7
AP,24-04-2020,44.3
AP,25-04-2020,47.7
AP,26-04-2020,57.1
AP,28-04-2020,46.6
AP,27-04-2020,46.2
AP,29-04-2020,47.7
AP,30-04-2020,44.8
AP,01-05-2020,54.2
AP,03-05-2020,54.5
AP,02-05-2020,48.3
AP,04-05-2020,47.9
PA,01-02-2020,32.1
PA,02-02-2020,38.0
PA,04-02-2020,27.8
PA,03-02-2020,26.1
PA,05-02-2020,28.3
PA,06-02-2020,27.2
PA,07-02-2020,24.2
PA,08-02-2020,29.9
PA,09-02-2020,37.6
PA,11-02-2020,25.0
PA,10-02-2020,23.2
PA,12-02-2020,25.0
PA,14-02-2020,25.6
PA,13-02-2020,26.2
PA,15-02-2020,33.2
PA,17-02-2020,25.0
PA,16-02-2020,39.3
PA,18-02-2020,28.1
PA,19-02-2020,29.9
PA,20-02-2020,27.4
PA,21-02-2020,25.9
PA,22-02-2020,32.9
PA,23-02-2020,40.7
PA,24-02-2020,35.6
PA,25-02-2020,43.4
PA,26-02-2020,36.8
PA,27-02-2020,28.0
PA,28-02-2020,27.6
PA,02-03-2020,27.9
PA,29-02-2020,31.6
PA,01-03-2020,41.1
PA,03-03-2020,30.2
PA,04-03-2020,32.1
PA,06-03-2020,29.8
PA,05-03-2020,31.7
PA,07-03-2020,35.7
PA,08-03-2020,41.2
PA,09-03-2020,34.0
PA,10-03-2020,31.2
PA,11-03-2020,30.9
PA,12-03-2020,32.7
PA,13-03-2020,31.5
PA,14-03-2020,36.9
PA,15-03-2020,44.8
PA,16-03-2020,31.4
PA,17-03-2020,31.4
PA,18-03-2020,34.5
PA,19-03-2020,37.9
PA,20-03-2020,38.1
PA,23-03-2020,47.7
PA,21-03-2020,47.9
PA,22-03-2020,56.7
PA,25-03-2020,48.8
PA,24-03-2020,49.1
PA,26-03-2020,48.5
PA,27-03-2020,47.1
PA,28-03-2020,49.5
PA,29-03-2020,55.0
PA,30-03-2020,45.9
PA,01-04-2020,42.4
PA,31-03-2020,45.2
PA,03-04-2020,44.0
PA,02-04-2020,44.6
PA,04-04-2020,46.9
PA,05-04-2020,53.4
PA,06-04-2020,44.1
PA,07-04-2020,43.3
PA,08-04-2020,43.4
PA,09-04-2020,43.4
PA,10-04-2020,54.8
PA,11-04-2020,46.4
PA,12-04-2020,53.1
PA,13-04-2020,45.1
PA,14-04-2020,47.3
PA,15-04-2020,45.6
PA,16-04-2020,42.6
PA,17-04-2020,46.7
PA,18-04-2020,46.8
PA,19-04-2020,55.4
PA,20-04-2020,46.1
PA,21-04-2020,53.5
PA,22-04-2020,45.3
PA,23-04-2020,46.0
PA,24-04-2020,46.0
PA,25-04-2020,48.7
PA,26-04-2020,56.6
PA,27-04-2020,46.8
PA,30-04-2020,46.2
PA,29-04-2020,46.1
PA,28-04-2020,47.2
PA,01-05-2020,53.8
PA,02-05-2020,47.6
PA,03-05-2020,53.3
PA,04-05-2020,47.3
RO,01-02-2020,33.8
RO,02-02-2020,40.8
RO,03-02-2020,27.3
RO,04-02-2020,28.9
RO,05-02-2020,29.4
RO,06-02-2020,27.7
RO,07-02-2020,25.2
RO,08-02-2020,29.9
RO,09-02-2020,39.3
RO,11-02-2020,25.3
RO,10-02-2020,24.0
RO,12-02-2020,25.5
RO,13-02-2020,27.7
RO,14-02-2020,26.2
RO,15-02-2020,34.8
RO,16-02-2020,41.3
RO,18-02-2020,28.5
RO,17-02-2020,25.4
RO,19-02-2020,31.5
RO,20-02-2020,26.9
RO,21-02-2020,27.0
RO,22-02-2020,34.0
RO,23-02-2020,43.7
RO,24-02-2020,37.0
RO,25-02-2020,43.4
RO,26-02-2020,36.0
RO,28-02-2020,27.5
RO,27-02-2020,29.9
RO,29-02-2020,32.3
RO,01-03-2020,43.5
RO,02-03-2020,28.4
RO,03-03-2020,33.6
RO,04-03-2020,32.9
RO,05-03-2020,32.3
RO,06-03-2020,31.2
RO,07-03-2020,34.1
RO,08-03-2020,42.6
RO,09-03-2020,31.0
RO,10-03-2020,32.3
RO,11-03-2020,30.6
RO,12-03-2020,33.2
RO,13-03-2020,32.2
RO,14-03-2020,37.0
RO,15-03-2020,44.7
RO,16-03-2020,32.6
RO,17-03-2020,34.1
RO,18-03-2020,37.9
RO,19-03-2020,38.7
RO,20-03-2020,39.4
RO,21-03-2020,51.5
RO,22-03-2020,66.1
RO,23-03-2020,51.2
RO,25-03-2020,53.4
RO,24-03-2020,53.4
RO,26-03-2020,52.2
RO,27-03-2020,49.7
RO,28-03-2020,51.2
RO,29-03-2020,58.2
RO,30-03-2020,47.7
RO,31-03-2020,46.1
RO,01-04-2020,44.0
RO,02-04-2020,46.3
RO,03-04-2020,45.4
RO,04-04-2020,47.5
RO,05-04-2020,54.2
RO,06-04-2020,45.1
RO,07-04-2020,43.7
RO,08-04-2020,43.8
RO,09-04-2020,44.1
RO,10-04-2020,52.0
RO,11-04-2020,47.1
RO,12-04-2020,53.0
RO,13-04-2020,44.0
RO,16-04-2020,42.0
RO,14-04-2020,45.7
RO,15-04-2020,47.3
RO,17-04-2020,41.9
RO,18-04-2020,46.4
RO,19-04-2020,54.1
RO,20-04-2020,44.0
RO,21-04-2020,51.1
RO,22-04-2020,42.9
RO,24-04-2020,41.4
RO,23-04-2020,43.6
RO,25-04-2020,45.5
RO,26-04-2020,53.2
RO,27-04-2020,43.0
RO,28-04-2020,42.2
RO,29-04-2020,41.3
RO,03-05-2020,50.4
RO,01-05-2020,49.7
RO,02-05-2020,44.0
RO,04-05-2020,42.0
MT,01-02-2020,32.1
MT,02-02-2020,38.8
MT,03-02-2020,27.1
MT,04-02-2020,28.2
MT,05-02-2020,28.0
MT,08-02-2020,28.7
MT,07-02-2020,24.8
MT,06-02-2020,27.6
MT,10-02-2020,24.1
MT,09-02-2020,38.4
MT,11-02-2020,24.5
MT,12-02-2020,26.1
MT,13-02-2020,26.6
MT,14-02-2020,26.0
MT,15-02-2020,32.7
MT,16-02-2020,39.6
MT,17-02-2020,25.1
MT,18-02-2020,28.2
MT,19-02-2020,30.0
MT,20-02-2020,26.7
MT,21-02-2020,26.3
MT,22-02-2020,32.8
MT,23-02-2020,42.0
MT,24-02-2020,34.5
MT,25-02-2020,41.9
MT,26-02-2020,33.7
MT,27-02-2020,28.3
MT,28-02-2020,26.8
MT,29-02-2020,31.3
MT,01-03-2020,41.3
MT,02-03-2020,28.8
MT,04-03-2020,31.5
MT,05-03-2020,31.3
MT,06-03-2020,28.9
MT,07-03-2020,31.6
MT,08-03-2020,40.7
MT,09-03-2020,30.9
MT,10-03-2020,31.1
MT,11-03-2020,30.0
MT,12-03-2020,31.0
MT,13-03-2020,31.3
MT,14-03-2020,35.5
MT,15-03-2020,42.3
MT,16-03-2020,32.0
MT,17-03-2020,31.5
MT,18-03-2020,34.1
MT,19-03-2020,35.6
MT,20-03-2020,38.8
MT,21-03-2020,46.8
MT,22-03-2020,58.9
MT,23-03-2020,50.1
MT,24-03-2020,51.6
MT,26-03-2020,49.4
MT,25-03-2020,50.9
MT,27-03-2020,47.6
MT,28-03-2020,49.8
MT,29-03-2020,54.9
MT,31-03-2020,44.4
MT,30-03-2020,44.9
MT,01-04-2020,42.4
MT,02-04-2020,43.9
MT,03-04-2020,43.8
MT,04-04-2020,45.7
MT,05-04-2020,53.2
MT,07-04-2020,41.4
MT,06-04-2020,43.2
MT,08-04-2020,43.7
MT,09-04-2020,40.4
MT,10-04-2020,51.0
MT,11-04-2020,43.1
MT,12-04-2020,49.9
MT,14-04-2020,41.9
MT,16-04-2020,38.9
MT,15-04-2020,41.1
MT,17-04-2020,38.1
MT,18-04-2020,42.8
MT,19-04-2020,50.7
MT,20-04-2020,40.6
MT,21-04-2020,48.2
MT,22-04-2020,39.7
MT,24-04-2020,37.8
MT,25-04-2020,41.7
MT,26-04-2020,49.1
MT,27-04-2020,39.6
MT,28-04-2020,39.1
MT,29-04-2020,37.9
MT,30-04-2020,37.0
MT,01-05-2020,46.3
MT,02-05-2020,40.1
MT,03-05-2020,46.7
MT,04-05-2020,39.3
MS,01-02-2020,32.9
MS,02-02-2020,39.1
MS,03-02-2020,27.1
MS,04-02-2020,28.5
MS,05-02-2020,28.5
MS,07-02-2020,24.6
MS,08-02-2020,28.6
MS,10-02-2020,23.7
MS,09-02-2020,37.5
MS,11-02-2020,24.4
MS,12-02-2020,25.3
MS,13-02-2020,26.3
MS,14-02-2020,25.7
MS,15-02-2020,32.8
MS,16-02-2020,39.9
MS,17-02-2020,24.7
MS,21-02-2020,26.2
MS,18-02-2020,27.6
MS,19-02-2020,29.4
MS,20-02-2020,26.4
MS,22-02-2020,32.5
MS,24-02-2020,35.0
MS,23-02-2020,40.9
MS,25-02-2020,43.1
MS,26-02-2020,35.8
MS,27-02-2020,27.3
MS,28-02-2020,26.1
MS,29-02-2020,32.0
MS,01-03-2020,40.9
MS,03-03-2020,29.0
MS,02-03-2020,27.7
MS,04-03-2020,30.8
MS,05-03-2020,30.4
MS,06-03-2020,28.3
MS,07-03-2020,32.0
MS,08-03-2020,40.8
MS,09-03-2020,29.8
MS,11-03-2020,28.9
MS,10-03-2020,30.4
MS,12-03-2020,30.2
MS,13-03-2020,30.5
MS,14-03-2020,36.0
MS,15-03-2020,42.0
MS,17-03-2020,31.9
MS,16-03-2020,31.7
MS,18-03-2020,35.3
MS,20-03-2020,39.2
MS,21-03-2020,50.5
MS,22-03-2020,62.6
MS,24-03-2020,52.6
MS,23-03-2020,51.6
MS,25-03-2020,52.5
MS,26-03-2020,51.4
MS,27-03-2020,50.1
MS,28-03-2020,53.6
MS,30-03-2020,46.8
MS,29-03-2020,59.0
MS,31-03-2020,45.7
MS,01-04-2020,43.8
MS,02-04-2020,45.6
MS,03-04-2020,45.0
MS,04-04-2020,47.9
MS,05-04-2020,54.6
MS,06-04-2020,42.7
MS,08-04-2020,40.5
MS,09-04-2020,40.4
MS,10-04-2020,51.2
MS,13-04-2020,41.1
MS,12-04-2020,50.7
MS,11-04-2020,44.2
MS,14-04-2020,40.9
MS,15-04-2020,41.2
MS,16-04-2020,39.2
MS,17-04-2020,38.8
MS,18-04-2020,43.7
MS,20-04-2020,41.0
MS,21-04-2020,48.6
MS,22-04-2020,38.8
MS,23-04-2020,39.4
MS,24-04-2020,38.2
MS,26-04-2020,49.5
MS,27-04-2020,40.0
MS,30-04-2020,36.7
MS,01-05-2020,47.5
MS,02-05-2020,41.4
MS,03-05-2020,46.8
MS,04-05-2020,38.7
RS,01-02-2020,32.8
RS,02-02-2020,39.2
RS,03-02-2020,26.8
RS,04-02-2020,26.8
RS,05-02-2020,28.1
RS,06-02-2020,27.1
RS,07-02-2020,24.6
RS,08-02-2020,29.6
RS,09-02-2020,40.3
RS,11-02-2020,25.2
RS,12-02-2020,25.7
RS,13-02-2020,26.6
RS,14-02-2020,25.7
RS,15-02-2020,34.1
RS,16-02-2020,42.1
RS,18-02-2020,28.3
RS,17-02-2020,25.4
RS,19-02-2020,28.3
RS,20-02-2020,25.3
RS,21-02-2020,25.3
RS,22-02-2020,34.1
RS,23-02-2020,43.5
RS,24-02-2020,37.6
RS,25-02-2020,44.2
RS,26-02-2020,31.4
RS,28-02-2020,26.0
RS,27-02-2020,26.9
RS,02-03-2020,27.3
RS,01-03-2020,42.4
RS,04-03-2020,30.1
RS,03-03-2020,28.5
RS,15-03-2020,45.2
RS,05-03-2020,29.6
RS,06-03-2020,27.5
RS,07-03-2020,32.9
RS,08-03-2020,42.8
RS,09-03-2020,28.9
RS,11-03-2020,27.8
RS,10-03-2020,29.3
RS,13-03-2020,29.5
RS,12-03-2020,28.8
RS,16-03-2020,32.2
RS,14-03-2020,37.2
RS,17-03-2020,32.1
RS,18-03-2020,36.7
RS,19-03-2020,39.8
RS,20-03-2020,42.0
RS,21-03-2020,56.8
RS,22-03-2020,69.5
RS,24-03-2020,59.1
RS,23-03-2020,57.4
RS,25-03-2020,58.0
RS,26-03-2020,57.4
RS,27-03-2020,55.4
RS,28-03-2020,59.1
RS,29-03-2020,64.8
RS,30-03-2020,52.9
RS,31-03-2020,51.9
RS,01-04-2020,48.9
RS,02-04-2020,52.2
RS,03-04-2020,50.8
RS,04-04-2020,54.3
RS,05-04-2020,61.3
RS,06-04-2020,50.5
RS,07-04-2020,47.3
RS,09-04-2020,45.7
RS,08-04-2020,46.2
RS,10-04-2020,58.6
RS,11-04-2020,50.5
RS,12-04-2020,56.0
RS,13-04-2020,47.0
RS,14-04-2020,47.5
RS,15-04-2020,46.6
RS,16-04-2020,43.3
RS,18-04-2020,48.5
RS,19-04-2020,56.8
RS,20-04-2020,45.2
RS,21-04-2020,54.3
RS,22-04-2020,42.8
RS,23-04-2020,43.3
RS,24-04-2020,41.8
RS,26-04-2020,56.7
RS,25-04-2020,47.4
RS,27-04-2020,44.1
RS,28-04-2020,43.4
RS,29-04-2020,42.0
RS,30-04-2020,40.1
RS,01-05-2020,52.9
RS,02-05-2020,45.6
RS,03-05-2020,52.5
RS,04-05-2020,42.1
SC,01-02-2020,32.3
SC,02-02-2020,39.7
SC,03-02-2020,27.2
SC,04-02-2020,29.4
SC,05-02-2020,28.5
SC,06-02-2020,27.6
SC,07-02-2020,24.8
SC,08-02-2020,29.7
SC,09-02-2020,39.8
SC,11-02-2020,24.6
SC,10-02-2020,23.9
SC,12-02-2020,25.3
SC,13-02-2020,25.9
SC,14-02-2020,25.2
SC,15-02-2020,33.3
SC,16-02-2020,40.6
SC,17-02-2020,25.1
SC,18-02-2020,27.6
SC,19-02-2020,29.0
SC,21-02-2020,25.6
SC,20-02-2020,25.6
SC,22-02-2020,33.1
SC,23-02-2020,42.0
SC,26-02-2020,32.5
SC,24-02-2020,35.2
SC,27-02-2020,27.0
SC,25-02-2020,41.0
SC,28-02-2020,26.2
SC,29-02-2020,32.4
SC,01-03-2020,42.4
SC,02-03-2020,28.3
SC,03-03-2020,29.9
SC,04-03-2020,30.8
SC,05-03-2020,30.7
SC,06-03-2020,28.2
SC,07-03-2020,32.6
SC,08-03-2020,42.1
SC,11-03-2020,28.9
SC,09-03-2020,31.6
SC,10-03-2020,30.4
