date,newCases
2020-02-25,1
2020-02-26,0
2020-02-27,0
2020-02-28,1
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,1
2020-03-05,3
2020-03-06,4
2020-03-07,3
2020-03-08,3
2020-03-09,0
2020-03-10,3
2020-03-11,11
2020-03-12,16
2020-03-13,10
2020-03-14,9
2020-03-15,71
2020-03-16,16
2020-03-17,12
2020-03-18,77
2020-03-19,45
2020-03-20,110
2020-03-21,63
2020-03-22,172
2020-03-23,114
2020-03-24,65
2020-03-25,52
2020-03-26,191
2020-03-27,170
2020-03-28,183
2020-03-29,45
2020-03-30,66
2020-03-31,822
2020-04-01,642
2020-04-02,525
2020-04-03,542
2020-04-04,418
2020-04-05,154
2020-04-06,246
2020-04-07,816
2020-04-08,1026
2020-04-09,772
2020-04-10,736
2020-04-11,203
2020-04-12,336
2020-04-13,140
2020-04-14,476
2020-04-15,1672
2020-04-16,525
2020-04-17,1273
2020-04-18,1053
2020-04-19,373
2020-04-20,313
2020-04-21,805
2020-04-22,529
2020-04-23,826
2020-04-24,1086
2020-04-25,2178
2020-04-26,711
2020-04-27,981
2020-04-28,2345
2020-04-29,2117
2020-04-30,2540
2020-05-01,1676
2020-05-02,800
2020-05-03,598
2020-05-04,415
2020-05-05,1866
2020-05-06,3800
2020-05-07,2075
2020-05-08,1902
2020-05-09,2581
2020-05-10,1033
2020-05-11,687
2020-05-12,1588
2020-05-13,3378
2020-05-14,3189
2020-05-15,4092
2020-05-16,2805
2020-05-17,1162
2020-05-18,721
2020-05-19,2929
2020-05-20,3864
2020-05-21,3880
2020-05-22,3132
2020-05-23,3687
2020-05-24,1603
2020-05-25,1464
2020-05-26,2392
2020-05-27,3466
2020-05-28,6382
2020-05-29,5691
2020-05-30,5586
2020-05-31,2556
2020-06-01,1598
2020-06-02,6999
2020-06-03,5188
2020-06-04,5717
2020-06-05,5365
2020-06-06,5984
2020-06-07,2524
2020-06-08,1520
2020-06-09,5545
2020-06-10,6178
2020-06-11,6204
2020-06-12,5380
2020-06-13,4975
2020-06-14,5327
2020-06-15,3258
2020-06-16,8825
2020-06-17,1232
2020-06-18,1111
2020-06-19,19030
2020-06-20,4135
2020-06-21,3392
2020-06-22,2788
2020-06-23,7502
2020-06-24,9347
2020-06-25,9765
2020-06-26,9921
2020-06-27,7073
2020-06-28,6156
2020-06-29,3408
2020-06-30,6235
2020-07-01,8555
2020-07-02,12244
2020-07-03,8523
2020-07-04,1828
2020-07-05,7649
2020-07-06,2891
2020-07-07,9638
2020-07-08,8657
2020-07-09,8350
2020-07-10,9395
2020-07-11,7780
2020-07-12,5107
2020-07-13,2610
2020-07-14,12000
2020-07-15,6569
2020-07-16,8872
2020-07-17,5367
2020-07-18,4612
2020-07-19,3022
2020-07-20,1385
2020-07-21,6235
2020-07-22,16777
2020-07-23,12561
2020-07-24,11211
2020-07-25,16263
2020-07-26,4501
2020-07-27,3672
2020-07-28,12647
2020-07-29,13896
2020-07-30,14809
2020-07-31,13298
2020-08-01,10014
2020-08-02,6367
2020-08-03,1533
2020-08-04,15371
2020-08-05,9676
2020-08-06,13405
2020-08-07,9709
2020-08-08,13352
2020-08-09,5395
2020-08-10,1289
2020-08-11,11147
2020-08-12,15619
2020-08-13,19274
2020-08-14,11667
2020-08-15,11408
2020-08-16,1963
2020-08-17,3172
2020-08-18,8865
2020-08-19,9847
2020-08-20,9451
2020-08-21,5132
2020-08-22,13284
2020-08-23,4885
2020-08-24,2351
2020-08-25,9190
2020-08-26,10465
2020-08-27,8318
2020-08-28,11756
2020-08-29,5213
2020-08-30,1982
2020-08-31,938
2020-09-01,10033
2020-09-02,11956
2020-09-03,11647
2020-09-04,7038
2020-09-05,8069
2020-09-06,2637
2020-09-07,1608
2020-09-08,1453
2020-09-09,7793
2020-09-10,8178
2020-09-11,8055
2020-09-12,7881
2020-09-13,1567
2020-09-14,1092
2020-09-15,7922
2020-09-16,8157
2020-09-17,7393
2020-09-18,7711
2020-09-19,7141
2020-09-20,3627
2020-09-21,2032
2020-09-22,8090
2020-09-23,6551
2020-09-24,6267
2020-09-25,6681
2020-09-26,5967
2020-09-27,1349
2020-09-28,905
2020-09-29,6377
2020-09-30,6109
2020-10-01,6097
2020-10-02,5608
2020-10-03,6096
2020-10-04,473
2020-10-05,677
2020-10-06,6260
2020-10-07,5916
2020-10-08,5649
2020-10-09,5786
2020-10-10,6626
2020-10-11,2844
2020-10-12,684
2020-10-13,685
2020-10-14,6031
2020-10-15,6553
2020-10-16,5627
2020-10-17,5394
2020-10-18,968
2020-10-19,437
2020-10-20,4923
2020-10-21,4299
2020-10-22,3678
2020-10-23,6702
2020-10-24,5614
2020-10-25,2725
2020-10-26,863
2020-10-27,5364
2020-10-28,5375
2020-10-29,5278
2020-10-30,4928
2020-10-31,2339
2020-11-01,1020
2020-11-02,648
2020-11-03,749
2020-11-04,4755
2020-11-05,2637
2020-11-06,0
2020-11-07,0
2020-11-08,0
2020-11-09,0
2020-11-10,21515
2020-11-11,3421
2020-11-12,5780
2020-11-13,6130
2020-11-14,4640
2020-11-15,1218
2020-11-16,737
2020-11-17,8698
2020-11-18,6421
2020-11-19,6794
2020-11-20,9058
2020-11-21,5087
2020-11-22,4153
2020-11-23,1037
2020-11-24,5219
2020-11-25,8900
2020-11-26,4523
2020-11-27,4320
2020-11-28,4507
2020-11-29,2379
2020-11-30,1180
2020-12-01,8937
2020-12-02,9114
2020-12-03,8208
2020-12-04,8237
2020-12-05,8938
2020-12-06,2675
2020-12-07,1116
2020-12-08,7923
2020-12-09,9784
2020-12-10,9786
2020-12-11,8791
2020-12-12,8601
2020-12-13,940
2020-12-14,2313
2020-12-15,4412
2020-12-16,0
2020-12-17,20303
2020-12-18,9922
2020-12-19,12447
2020-12-20,0
2020-12-21,3943
2020-12-22,10714
2020-12-23,10383
2020-12-24,9351
2020-12-25,3596
2020-12-26,1253
2020-12-27,2836
2020-12-28,1576
2020-12-29,12477
2020-12-30,11849
2020-12-31,10219
2021-01-01,3894
2021-01-02,1762
2021-01-03,3469
2021-01-04,2248
2021-01-05,12881
2021-01-06,14534
2021-01-07,14073
2021-01-08,13794
2021-01-09,11561
2021-01-10,5619
2021-01-11,3010
2021-01-12,12702
2021-01-13,15275
2021-01-14,13710
2021-01-15,15016
2021-01-16,13774
2021-01-17,5720
2021-01-18,2933
2021-01-19,15953
2021-01-20,14411
2021-01-21,12118
2021-01-22,9005
2021-01-23,14596
2021-01-24,5072
2021-01-25,2867
2021-01-26,12959
2021-01-27,16041
2021-01-28,14776
2021-01-29,13887
2021-01-30,13067
2021-01-31,4344
2021-02-01,2354
2021-02-02,14297
2021-02-03,12990
2021-02-04,13932
2021-02-05,12222
2021-02-06,11923
2021-02-07,4248
2021-02-08,2442
2021-02-09,13201
2021-02-10,13825
2021-02-11,11167
2021-02-12,11605
2021-02-13,9837
2021-02-14,2187
2021-02-15,2316
2021-02-16,11496
2021-02-17,11302
2021-02-18,10747
2021-02-19,11105
2021-02-20,10859
2021-02-21,4504
2021-02-22,2550
2021-02-23,12077
2021-02-24,12086
2021-02-25,11889
2021-02-26,11596
2021-02-27,11142
2021-02-28,4361
2021-03-01,3071
2021-03-02,10168
2021-03-03,13749
2021-03-04,12236
2021-03-05,13072
2021-03-06,13763
2021-03-07,6051
2021-03-08,4224
2021-03-09,16058
2021-03-10,15541
2021-03-11,14505
2021-03-12,15720
2021-03-13,15344
2021-03-14,7853
2021-03-15,5259
2021-03-16,17684
2021-03-17,17942
2021-03-18,17492
2021-03-19,18673
2021-03-20,18028
2021-03-21,8265
2021-03-22,4775
2021-03-23,20942
2021-03-24,20395
2021-03-25,18447
2021-03-26,21489
2021-03-27,18124
2021-03-28,9602
2021-03-29,5220
2021-03-30,21360
2021-03-31,23169
2021-04-01,26567
2021-04-02,16762
2021-04-03,7026
2021-04-04,7196
2021-04-05,4647
2021-04-06,22794
2021-04-07,21521
2021-04-08,21004
2021-04-09,20701
2021-04-10,17311
2021-04-11,8156
2021-04-12,5310
2021-04-13,18397
2021-04-14,18790
2021-04-15,18067
2021-04-16,17979
2021-04-17,17746
2021-04-18,6394
2021-04-19,4083
2021-04-20,19060
2021-04-21,17123
2021-04-22,7267
2021-04-23,17812
2021-04-24,16271
2021-04-25,6488
2021-04-26,3912
2021-04-27,17992
2021-04-28,17013
2021-04-29,14920
2021-04-30,15551
2021-05-01,14335
2021-05-02,5323
2021-05-03,3149
2021-05-04,15464
2021-05-05,14230
2021-05-06,13470
2021-05-07,14502
2021-05-08,13100
2021-05-09,5785
2021-05-10,3183
2021-05-11,16318
2021-05-12,15672
2021-05-13,15649
2021-05-14,15915
2021-05-15,15486
2021-05-16,7554
2021-05-17,4001
2021-05-18,15779
2021-05-19,16788
2021-05-20,17936
2021-05-21,16511
2021-05-22,16736
2021-05-23,7510
2021-05-24,4622
2021-05-25,17477
2021-05-26,16671
2021-05-27,12782
2021-05-28,1583
2021-05-29,13653
2021-05-30,11037
2021-05-31,6113
2021-06-01,19466
2021-06-02,23122
2021-06-03,19733
2021-06-04,3898
2021-06-05,16939
2021-06-06,9959
2021-06-07,5074
2021-06-08,8022
2021-06-09,4192
2021-06-10,23033
2021-06-11,22875
2021-06-12,21221
2021-06-13,9272
2021-06-14,5309
2021-06-15,23227
2021-06-16,22582
2021-06-17,15054
2021-06-18,27706
2021-06-19,20483
2021-06-20,9582
2021-06-21,4854
2021-06-22,23097
2021-06-23,19508
2021-06-24,17951
2021-06-25,20994
2021-06-26,18932
2021-06-27,7965
2021-06-28,4285
2021-06-29,19208
2021-06-30,7762
2021-07-01,15943
2021-07-02,19467
2021-07-03,16650
2021-07-04,6451
2021-07-05,4231
2021-07-06,19132
2021-07-07,14889
2021-07-08,14453
2021-07-09,14712
2021-07-10,7684
2021-07-11,5218
2021-07-12,3122
2021-07-13,10546
2021-07-14,16237
2021-07-15,12196
2021-07-16,11475
2021-07-17,17095
2021-07-18,2783
2021-07-19,3144
2021-07-20,4798
2021-07-21,18435
2021-07-22,13093
2021-07-23,12086
2021-07-24,5896
2021-07-25,3994
2021-07-26,2471
2021-07-27,11877
2021-07-28,11636
2021-07-29,11313
2021-07-30,10103
2021-07-31,9390
2021-08-01,3873
2021-08-02,1939
2021-08-03,9942
2021-08-04,10490
2021-08-05,10099
2021-08-06,10557
2021-08-07,8973
2021-08-08,3726
2021-08-09,1798
2021-08-10,10455
2021-08-11,8701
2021-08-12,9244
2021-08-13,8898
2021-08-14,8024
2021-08-15,3906
2021-08-16,2048
2021-08-17,8607
2021-08-18,8317
2021-08-19,8001
2021-08-20,7111
2021-08-21,6844
2021-08-22,3190
2021-08-23,1942
2021-08-24,8349
2021-08-25,6698
2021-08-26,6836
2021-08-27,7635
2021-08-28,6403
2021-08-29,3042
2021-08-30,1808
2021-08-31,7360
2021-09-01,6454
2021-09-02,6120
2021-09-03,6714
2021-09-04,6471
2021-09-05,2016
2021-09-06,1534
2021-09-07,3156
2021-09-08,2080
2021-09-09,951
2021-09-10,671
2021-09-11,778
2021-09-12,678
2021-09-13,337
2021-09-14,881
2021-09-15,986
2021-09-16,22678
2021-09-17,23586
2021-09-18,1448
2021-09-19,307
2021-09-20,471
2021-09-21,1831
2021-09-22,1826
2021-09-23,1932
2021-09-24,2198
2021-09-25,1760
2021-09-26,383
2021-09-27,400
2021-09-28,1791
2021-09-29,1460
2021-09-30,1550
2021-10-01,1616
2021-10-02,1313
2021-10-03,477
2021-10-04,205
2021-10-05,3765
2021-10-06,1679
2021-10-07,1513
2021-10-08,1439
2021-10-09,4724
2021-10-10,518
2021-10-11,399
2021-10-12,410
2021-10-13,226
2021-10-14,1930
2021-10-15,1685
2021-10-16,1448
2021-10-17,369
2021-10-18,158
2021-10-19,1296
2021-10-20,1748
2021-10-21,1625
2021-10-22,2229
2021-10-23,1833
2021-10-24,270
2021-10-25,209
2021-10-26,1716
2021-10-27,1634
2021-10-28,1290
2021-10-29,987
2021-10-30,684
2021-10-31,550
2021-11-01,175
2021-11-02,738
2021-11-03,766
2021-11-04,1648
2021-11-05,1471
2021-11-06,1307
2021-11-07,700
2021-11-08,359
2021-11-09,946
2021-11-10,1558
2021-11-11,1847
2021-11-12,2671
2021-11-13,1692
2021-11-14,469
2021-11-15,166
2021-11-16,333
2021-11-17,1970
2021-11-18,1935
2021-11-19,2208
2021-11-20,1154
2021-11-21,787
2021-11-22,219
2021-11-23,1524
2021-11-24,1195
